wavelength,0.2 c,0.4 c,0.6 c,0.8 c,1.0 c
800.00,0.003365,0.007921,0.011018,0.017220,0.021943
799.00,0.001920,0.006990,0.011477,0.017560,0.021419
798.00,0.002932,0.007972,0.011125,0.017032,0.022223
797.00,0.003824,0.009047,0.012490,0.017350,0.022816
796.00,0.003761,0.009123,0.012800,0.019330,0.023599
795.00,0.003513,0.008557,0.013100,0.017752,0.023441
794.00,0.004509,0.009286,0.013428,0.019149,0.023887
793.00,0.004426,0.008595,0.014395,0.020501,0.025287
792.00,0.005023,0.009602,0.013746,0.021108,0.026434
791.00,0.004370,0.010547,0.014067,0.021243,0.025548
790.00,0.004487,0.009739,0.014842,0.020332,0.026675
789.00,0.004482,0.010057,0.015406,0.022348,0.026995
788.00,0.005491,0.011108,0.015634,0.021305,0.029232
787.00,0.005212,0.011792,0.015612,0.024047,0.028647
786.00,0.005587,0.011460,0.016637,0.024321,0.028542
785.00,0.005095,0.011785,0.016493,0.023832,0.028891
784.00,0.006572,0.011776,0.017072,0.023837,0.030888
783.00,0.003579,0.009550,0.015251,0.022343,0.029822
782.00,0.005352,0.010986,0.016865,0.022923,0.030179
781.00,0.005876,0.011006,0.018125,0.025336,0.031871
780.00,0.006994,0.013764,0.019955,0.027809,0.032925
779.00,0.004731,0.012508,0.018589,0.027379,0.032744
778.00,0.005363,0.012432,0.017266,0.026894,0.033063
777.00,0.006669,0.014028,0.019087,0.026827,0.033665
776.00,0.005786,0.013687,0.019885,0.027537,0.034707
775.00,0.005633,0.012777,0.020132,0.028039,0.033941
774.00,0.006487,0.013605,0.020433,0.028999,0.036799
773.00,0.006036,0.013668,0.020691,0.029822,0.036229
772.00,0.007059,0.014078,0.020021,0.030054,0.036265
771.00,0.006503,0.015139,0.022122,0.030387,0.038135
770.00,0.005560,0.013328,0.021214,0.029984,0.038781
769.00,0.006946,0.015020,0.021684,0.031193,0.039451
768.00,0.007717,0.015058,0.022909,0.031632,0.038979
767.00,0.008433,0.016300,0.023112,0.033018,0.041801
766.00,0.007289,0.016449,0.023537,0.032963,0.041613
765.00,0.008170,0.016612,0.025389,0.034724,0.043373
764.00,0.008219,0.016453,0.024449,0.034786,0.043471
763.00,0.009056,0.017458,0.025557,0.037208,0.044635
762.00,0.008812,0.017604,0.026128,0.036534,0.045334
761.00,0.008283,0.017363,0.026563,0.037441,0.045688
760.00,0.008041,0.017873,0.027437,0.037332,0.046583
759.00,0.008459,0.018551,0.027194,0.038336,0.046757
758.00,0.010283,0.021075,0.029202,0.040221,0.048669
757.00,0.010218,0.019618,0.028377,0.040210,0.048982
756.00,0.009508,0.019930,0.030206,0.041379,0.050358
755.00,0.009979,0.020184,0.030644,0.041934,0.049969
754.00,0.010688,0.021271,0.030825,0.042855,0.051866
753.00,0.010600,0.021525,0.030648,0.043741,0.053365
752.00,0.011179,0.022540,0.032078,0.045081,0.054938
751.00,0.011277,0.023482,0.032594,0.044819,0.055740
750.00,0.011032,0.022711,0.033645,0.046040,0.057242
749.00,0.009786,0.022184,0.032428,0.046453,0.056876
748.00,0.011122,0.023527,0.033782,0.047987,0.057450
747.00,0.012052,0.023402,0.034341,0.047892,0.058870
746.00,0.012848,0.025258,0.035913,0.049959,0.060909
745.00,0.012913,0.025297,0.037222,0.050229,0.062377
744.00,0.012919,0.025889,0.037523,0.051611,0.062467
743.00,0.012911,0.026971,0.038396,0.052313,0.063730
742.00,0.013742,0.027198,0.037789,0.053447,0.064905
741.00,0.013114,0.027895,0.040300,0.055453,0.066491
740.00,0.014672,0.027908,0.040174,0.056132,0.067155
739.00,0.014620,0.028675,0.041479,0.056254,0.068589
738.00,0.013505,0.028864,0.041618,0.057323,0.068694
737.00,0.015175,0.029968,0.043175,0.058716,0.071812
736.00,0.015653,0.031329,0.043639,0.060019,0.072560
735.00,0.015282,0.030824,0.044316,0.061731,0.073474
734.00,0.016251,0.032007,0.045537,0.060634,0.075360
733.00,0.015759,0.031503,0.045458,0.063592,0.076265
732.00,0.016298,0.033138,0.046618,0.064907,0.079332
731.00,0.017974,0.032998,0.048873,0.066156,0.079751
730.00,0.017054,0.034011,0.049286,0.067411,0.080527
729.00,0.017106,0.033578,0.050067,0.067350,0.081903
728.00,0.017204,0.035209,0.050968,0.068213,0.083028
727.00,0.018658,0.037012,0.052388,0.071654,0.085504
726.00,0.019520,0.037278,0.053266,0.072649,0.087401
725.00,0.018386,0.035541,0.053078,0.072571,0.086786
724.00,0.019583,0.037451,0.053797,0.074121,0.088947
723.00,0.020436,0.040303,0.056853,0.076397,0.092255
722.00,0.019737,0.039885,0.056776,0.077012,0.092419
721.00,0.020725,0.040238,0.057467,0.078028,0.093769
720.00,0.021418,0.041347,0.059837,0.079592,0.095283
719.00,0.021641,0.041888,0.059518,0.081008,0.097420
718.00,0.022267,0.042902,0.060671,0.083049,0.099630
717.00,0.023290,0.043915,0.062814,0.084518,0.101161
716.00,0.023441,0.045004,0.064047,0.086126,0.103206
715.00,0.022825,0.045948,0.064714,0.086993,0.104917
714.00,0.023997,0.046724,0.065695,0.088661,0.107200
713.00,0.024593,0.047525,0.066869,0.090543,0.108783
712.00,0.024409,0.048199,0.068267,0.091890,0.109660
711.00,0.024660,0.049430,0.069463,0.094288,0.112502
710.00,0.026201,0.050319,0.071009,0.095978,0.114055
709.00,0.026492,0.051268,0.072498,0.097411,0.116314
708.00,0.027401,0.052692,0.074127,0.099149,0.118008
707.00,0.027374,0.052779,0.074449,0.100182,0.119769
706.00,0.027922,0.053013,0.075692,0.102256,0.121489
705.00,0.028643,0.055361,0.078110,0.104616,0.123363
704.00,0.029326,0.055661,0.079243,0.106001,0.126794
703.00,0.029667,0.056116,0.080498,0.107369,0.127766
702.00,0.030305,0.057625,0.082183,0.109476,0.130636
701.00,0.030700,0.058780,0.083524,0.111675,0.132719
700.00,0.031504,0.059323,0.084402,0.112784,0.134945
699.00,0.031675,0.060852,0.085826,0.115037,0.136731
698.00,0.032268,0.061677,0.087111,0.116302,0.138521
697.00,0.032860,0.062817,0.088817,0.118120,0.141207
696.00,0.033617,0.064083,0.090586,0.120931,0.144184
695.00,0.033474,0.064612,0.091659,0.122339,0.145966
694.00,0.034620,0.066343,0.093928,0.125220,0.148825
693.00,0.035386,0.066859,0.094719,0.126491,0.150416
692.00,0.035859,0.067841,0.096893,0.128568,0.152753
691.00,0.036299,0.068428,0.097193,0.130557,0.154882
690.00,0.036330,0.069206,0.098730,0.132302,0.157169
689.00,0.036983,0.070524,0.099596,0.133908,0.159061
688.00,0.037952,0.071817,0.102035,0.136581,0.161793
687.00,0.038239,0.073055,0.102941,0.138177,0.164194
686.00,0.039169,0.074237,0.104933,0.140840,0.167042
685.00,0.039776,0.075239,0.106985,0.142401,0.170040
684.00,0.039595,0.075949,0.108084,0.144621,0.172094
683.00,0.040722,0.077525,0.110307,0.146401,0.174974
682.00,0.040933,0.078255,0.111307,0.149298,0.177180
681.00,0.041795,0.079684,0.113118,0.151846,0.179840
680.00,0.041974,0.081093,0.114874,0.153283,0.182608
679.00,0.043212,0.081718,0.116609,0.156156,0.185664
678.00,0.043271,0.083075,0.118298,0.158406,0.188608
677.00,0.043545,0.083938,0.119758,0.160458,0.191482
676.00,0.044538,0.085756,0.122146,0.163467,0.194607
675.00,0.044572,0.086661,0.123325,0.165539,0.197284
674.00,0.045244,0.087580,0.125201,0.167752,0.200202
673.00,0.045499,0.088371,0.127072,0.170203,0.202725
672.00,0.046823,0.090444,0.129465,0.173627,0.206749
671.00,0.047192,0.091116,0.130655,0.175679,0.209656
670.00,0.047590,0.093264,0.132825,0.178219,0.213351
669.00,0.047496,0.093322,0.133684,0.180627,0.215294
668.00,0.048911,0.095053,0.136518,0.183689,0.219783
667.00,0.049441,0.096070,0.138534,0.186174,0.223061
666.00,0.049586,0.097354,0.139773,0.189283,0.225349
665.00,0.050052,0.098345,0.142521,0.191827,0.228456
664.00,0.050792,0.099701,0.144537,0.195218,0.233017
663.00,0.051448,0.101625,0.146392,0.198256,0.236597
662.00,0.051597,0.102509,0.148187,0.200153,0.239756
661.00,0.052777,0.103881,0.150802,0.204337,0.244433
660.00,0.053632,0.105379,0.152920,0.207015,0.248027
659.00,0.053923,0.106984,0.154815,0.209792,0.251389
658.00,0.054005,0.107714,0.156348,0.212623,0.254283
657.00,0.054284,0.109802,0.159177,0.215379,0.257470
656.00,0.055915,0.111004,0.161478,0.219006,0.262520
655.00,0.055518,0.112226,0.163529,0.222037,0.265933
654.00,0.056848,0.112790,0.165524,0.226071,0.269997
653.00,0.057131,0.115042,0.167865,0.228509,0.274328
652.00,0.056978,0.115666,0.169466,0.231196,0.277858
651.00,0.058692,0.117601,0.172489,0.234811,0.282043
650.00,0.059189,0.119546,0.174858,0.238272,0.286046
649.00,0.059330,0.119999,0.176757,0.241129,0.289825
648.00,0.059798,0.121760,0.178559,0.244697,0.293892
647.00,0.061157,0.123603,0.181237,0.247912,0.298258
646.00,0.060328,0.124601,0.183592,0.251217,0.301578
645.00,0.061856,0.125655,0.186096,0.253834,0.306015
644.00,0.061916,0.127785,0.188187,0.258065,0.310472
643.00,0.063190,0.128862,0.190708,0.260625,0.314235
642.00,0.062748,0.130042,0.191144,0.263607,0.317485
641.00,0.062509,0.130622,0.193642,0.266184,0.321177
640.00,0.064211,0.131798,0.195894,0.269928,0.325046
639.00,0.064479,0.133862,0.198370,0.272460,0.328764
638.00,0.064551,0.134344,0.200352,0.275443,0.332678
637.00,0.064984,0.135762,0.202217,0.278201,0.336289
636.00,0.064877,0.136430,0.202636,0.281376,0.338661
635.00,0.066166,0.137655,0.205565,0.283715,0.343055
634.00,0.066434,0.138105,0.206955,0.285984,0.345441
633.00,0.066639,0.139453,0.208793,0.288175,0.349345
632.00,0.066193,0.140377,0.210421,0.291179,0.352501
631.00,0.066796,0.140788,0.210976,0.293110,0.354523
630.00,0.066909,0.141817,0.212381,0.294699,0.357113
629.00,0.067032,0.142301,0.213921,0.296213,0.360088
628.00,0.066602,0.142475,0.214367,0.298744,0.361785
627.00,0.067375,0.143552,0.215665,0.300503,0.363833
626.00,0.068099,0.144342,0.216648,0.302381,0.366192
625.00,0.067595,0.144228,0.218403,0.303782,0.369080
624.00,0.067915,0.144753,0.218779,0.305023,0.369951
623.00,0.067804,0.145186,0.219657,0.306546,0.372380
622.00,0.067595,0.146039,0.220473,0.307377,0.374216
621.00,0.067568,0.145699,0.220316,0.308069,0.375318
620.00,0.067975,0.146042,0.221474,0.309643,0.376478
619.00,0.067070,0.145482,0.220945,0.309125,0.377325
618.00,0.067611,0.145875,0.221631,0.310539,0.378186
617.00,0.067539,0.145621,0.221647,0.310730,0.378728
616.00,0.066778,0.145873,0.221717,0.311589,0.379457
615.00,0.067165,0.145408,0.221565,0.311901,0.380479
614.00,0.066873,0.145226,0.222012,0.312124,0.380769
613.00,0.066869,0.145011,0.221872,0.311351,0.381020
612.00,0.066804,0.145460,0.221855,0.312694,0.380906
611.00,0.066149,0.144797,0.221493,0.312035,0.381471
610.00,0.066091,0.143791,0.220907,0.311233,0.380594
609.00,0.065495,0.143645,0.220451,0.310723,0.380510
608.00,0.065435,0.143394,0.219509,0.310661,0.380158
607.00,0.064690,0.142825,0.219224,0.310321,0.379118
606.00,0.064734,0.142328,0.219017,0.309456,0.378691
605.00,0.064297,0.141563,0.217791,0.308447,0.377961
604.00,0.064176,0.140945,0.217288,0.307707,0.377503
603.00,0.063565,0.140146,0.216438,0.306517,0.375938
602.00,0.063529,0.139937,0.215897,0.305879,0.375211
601.00,0.062981,0.138305,0.214224,0.303611,0.373083
600.00,0.062977,0.138395,0.213795,0.303581,0.372828
599.00,0.062406,0.137636,0.213027,0.302224,0.370698
598.00,0.061412,0.136505,0.210909,0.299972,0.368764
597.00,0.061447,0.135873,0.210139,0.299188,0.367988
596.00,0.060869,0.135114,0.209385,0.297579,0.365598
595.00,0.060547,0.134139,0.207621,0.295149,0.363701
594.00,0.060315,0.133079,0.206139,0.293428,0.361345
593.00,0.059481,0.132093,0.204795,0.291848,0.359522
592.00,0.058725,0.130581,0.203079,0.289342,0.356333
591.00,0.058582,0.129692,0.202208,0.287843,0.354528
590.00,0.058397,0.129083,0.200164,0.285866,0.352215
589.00,0.058254,0.128542,0.198925,0.283907,0.349834
588.00,0.057078,0.126573,0.196793,0.281075,0.346079
587.00,0.056808,0.125766,0.195238,0.278870,0.343783
586.00,0.055745,0.124778,0.193204,0.276137,0.339729
585.00,0.055525,0.123670,0.191487,0.273184,0.337147
584.00,0.054866,0.122331,0.188879,0.270139,0.333390
583.00,0.053955,0.120732,0.187412,0.267722,0.330751
582.00,0.053927,0.119549,0.185802,0.265289,0.326995
581.00,0.053151,0.118530,0.183938,0.262388,0.323846
580.00,0.052484,0.117175,0.182105,0.259830,0.320050
579.00,0.051915,0.115429,0.179445,0.256555,0.316758
578.00,0.051565,0.114679,0.177572,0.253881,0.312651
577.00,0.050866,0.112494,0.175093,0.250189,0.308967
576.00,0.049959,0.111466,0.172866,0.247517,0.305067
575.00,0.049647,0.110059,0.171286,0.244063,0.301126
574.00,0.048982,0.108565,0.168274,0.240585,0.297014
573.00,0.048578,0.107458,0.166319,0.237379,0.292624
572.00,0.047840,0.105930,0.164117,0.234465,0.289147
571.00,0.047416,0.104657,0.162056,0.231781,0.285193
570.00,0.046409,0.102753,0.159294,0.227583,0.280602
569.00,0.045898,0.101415,0.157141,0.224389,0.276876
568.00,0.045157,0.100325,0.154520,0.220664,0.272538
567.00,0.044384,0.098489,0.152194,0.217350,0.268097
566.00,0.044022,0.096963,0.150008,0.213788,0.263916
565.00,0.043508,0.095593,0.147948,0.210690,0.259569
564.00,0.042786,0.094252,0.145205,0.207166,0.255437
563.00,0.042093,0.092473,0.143108,0.204180,0.251110
562.00,0.041300,0.091414,0.140694,0.200489,0.246988
561.00,0.041143,0.089420,0.138427,0.197334,0.242848
560.00,0.040209,0.088080,0.135905,0.193574,0.238847
559.00,0.039575,0.086953,0.133733,0.190334,0.234809
558.00,0.039022,0.085254,0.131411,0.187304,0.230725
557.00,0.038429,0.084165,0.129624,0.184150,0.227113
556.00,0.037956,0.082635,0.127010,0.180506,0.222502
555.00,0.037333,0.081401,0.124790,0.177475,0.218409
554.00,0.036580,0.079562,0.122209,0.174374,0.214424
553.00,0.035924,0.078620,0.120750,0.171503,0.211133
552.00,0.035398,0.076685,0.118185,0.167962,0.206867
551.00,0.034731,0.075715,0.115818,0.164933,0.203052
550.00,0.034012,0.074281,0.113741,0.162190,0.199466
549.00,0.033699,0.073312,0.111909,0.159244,0.195878
548.00,0.033233,0.071623,0.109866,0.155927,0.192278
547.00,0.032490,0.070703,0.108439,0.153705,0.189124
546.00,0.032164,0.069701,0.106154,0.150870,0.185481
545.00,0.031585,0.068398,0.104412,0.147810,0.181828
544.00,0.030914,0.066982,0.102322,0.145051,0.178499
543.00,0.030541,0.065885,0.100300,0.142301,0.175267
542.00,0.030093,0.064801,0.098861,0.139936,0.172103
541.00,0.029491,0.063625,0.097037,0.137371,0.169131
540.00,0.028802,0.062278,0.095060,0.134650,0.165222
539.00,0.028390,0.061151,0.093162,0.132008,0.162434
538.00,0.028121,0.060398,0.091478,0.129597,0.159303
537.00,0.027426,0.059121,0.089778,0.127162,0.156302
536.00,0.027078,0.057894,0.088166,0.125042,0.153767
535.00,0.026550,0.057158,0.086803,0.122727,0.150783
534.00,0.026028,0.056035,0.085020,0.120318,0.148035
533.00,0.025607,0.055156,0.083414,0.118094,0.145346
532.00,0.025383,0.053988,0.082108,0.116040,0.142479
531.00,0.024786,0.053095,0.080266,0.113706,0.139692
530.00,0.024277,0.052165,0.079184,0.111856,0.137563
529.00,0.024008,0.051367,0.077673,0.109671,0.134938
528.00,0.023609,0.050379,0.076204,0.107858,0.132672
527.00,0.023235,0.049464,0.074901,0.105836,0.129947
526.00,0.022814,0.048626,0.073581,0.103960,0.127765
525.00,0.022883,0.048222,0.072774,0.102434,0.125907
524.00,0.022382,0.047267,0.071334,0.100768,0.123842
523.00,0.021930,0.046825,0.070315,0.098987,0.121812
522.00,0.021619,0.045631,0.068821,0.097112,0.119519
521.00,0.020911,0.044828,0.067513,0.095195,0.117318
520.00,0.020554,0.044085,0.066344,0.093852,0.115215
519.00,0.020418,0.043572,0.065469,0.092497,0.113790
518.00,0.020238,0.042928,0.064300,0.090839,0.111645
517.00,0.019997,0.041982,0.063471,0.089687,0.110460
516.00,0.019570,0.041613,0.062293,0.088152,0.108582
515.00,0.019141,0.040840,0.061530,0.086972,0.106985
514.00,0.019036,0.040336,0.060706,0.085830,0.105676
513.00,0.018679,0.039900,0.060083,0.084647,0.104367
512.00,0.018440,0.039433,0.059235,0.083567,0.102909
511.00,0.018316,0.038892,0.058516,0.082776,0.101886
510.00,0.017737,0.038113,0.057430,0.081405,0.100366
509.00,0.017669,0.037716,0.056863,0.080410,0.099075
508.00,0.017416,0.037443,0.056245,0.079425,0.097958
507.00,0.017043,0.036922,0.055574,0.078900,0.097079
506.00,0.017116,0.036550,0.055161,0.078007,0.096165
505.00,0.016867,0.036357,0.054559,0.077398,0.095498
504.00,0.017152,0.036206,0.054281,0.076937,0.095046
503.00,0.016703,0.035404,0.053731,0.076055,0.094015
502.00,0.016287,0.034871,0.052991,0.075357,0.093040
501.00,0.016235,0.035184,0.052789,0.075223,0.093011
